Date,FFH3
2023-02-09,
2023-02-08,95.345
2023-02-07,95.345
2023-02-06,95.34
2023-02-03,95.35
2023-02-02,95.36
2023-02-01,95.36
2023-01-31,95.35
2023-01-30,95.345
2023-01-27,95.355
2023-01-26,95.35
2023-01-25,95.355
2023-01-24,95.345
2023-01-23,95.345
2023-01-20,95.355
2023-01-19,95.35
2023-01-18,95.345
2023-01-17,95.34
2023-01-13,95.335
2023-01-12,95.34
2023-01-11,95.295
2023-01-10,95.295
2023-01-09,95.3
2023-01-06,95.29
2023-01-05,95.255
2023-01-04,95.275
2023-01-03,95.275
2022-12-30,95.275
2022-12-29,95.29
2022-12-28,95.275
2022-12-27,95.25
2022-12-23,95.275
2022-12-22,95.285
2022-12-21,95.3
2022-12-20,95.29
2022-12-19,95.28
2022-12-16,95.31
2022-12-15,95.295
2022-12-14,95.3
2022-12-13,95.29
2022-12-12,95.205
2022-12-09,95.225
2022-12-08,95.24
2022-12-07,95.245
2022-12-06,95.215
2022-12-05,95.205
2022-12-02,95.245
2022-12-01,95.26
2022-11-30,95.225
2022-11-29,95.195
2022-11-28,95.17
2022-11-25,95.185
2022-11-23,95.18
2022-11-22,95.155
2022-11-21,95.18
2022-11-18,95.195
2022-11-17,95.225
2022-11-16,95.25
2022-11-15,95.255
2022-11-14,95.24
2022-11-11,95.26
2022-11-10,95.265
2022-11-09,95.135
2022-11-08,95.135
2022-11-07,95.1
2022-11-04,95.14
2022-11-03,95.1
2022-11-02,95.14
2022-11-01,95.125
2022-10-31,95.15
2022-10-28,95.2
2022-10-27,95.26
2022-10-26,95.225
2022-10-25,95.17
2022-10-24,95.155
2022-10-21,95.2
2022-10-20,95.07
2022-10-19,95.09
2022-10-18,95.15
2022-10-17,95.135
2022-10-14,95.115
2022-10-13,95.165
2022-10-12,95.365
2022-10-11,95.365
2022-10-10,95.355
2022-10-07,95.39
2022-10-06,95.475
2022-10-05,95.53
2022-10-04,95.545
2022-10-03,95.58
2022-09-30,95.56
2022-09-29,95.58
2022-09-28,95.625
2022-09-27,95.51
2022-09-26,95.45
2022-09-23,95.395
2022-09-22,95.425
2022-09-21,95.525
2022-09-20,95.58
2022-09-19,95.585
2022-09-16,95.65
2022-09-15,95.59
2022-09-14,95.655
2022-09-13,95.705
2022-09-12,96.005
2022-09-09,96.005
2022-09-08,96.09
2022-09-07,96.105
2022-09-06,96.075
2022-09-02,96.2
2022-09-01,96.085
2022-08-31,96.135
2022-08-30,96.14
2022-08-29,96.175
2022-08-26,96.24
2022-08-25,96.245
2022-08-24,96.245
2022-08-23,96.285
2022-08-22,96.26
2022-08-19,96.35
2022-08-18,96.37
2022-08-17,96.34
2022-08-16,96.375
2022-08-15,96.4
2022-08-12,96.365
2022-08-11,96.375
2022-08-10,96.41
2022-08-09,96.33
2022-08-08,96.385
2022-08-05,96.36
2022-08-04,96.58
2022-08-03,96.535
2022-08-02,96.57
2022-08-01,96.71
2022-07-29,96.715
2022-07-28,96.76
2022-07-27,96.71
2022-07-26,96.64
2022-07-25,96.62
2022-07-22,96.685
2022-07-21,96.58
2022-07-20,96.41
2022-07-19,96.42
2022-07-18,96.48
2022-07-15,96.46
2022-07-14,96.405
2022-07-13,96.395
2022-07-12,96.56
2022-07-11,96.5
2022-07-08,96.42
2022-07-07,96.525
2022-07-06,96.61
2022-07-05,96.715
2022-07-01,96.63
2022-06-30,96.58
2022-06-29,96.42
2022-06-28,96.435
2022-06-27,96.455
2022-06-24,96.5
2022-06-23,96.47
2022-06-22,96.41
2022-06-21,96.24
2022-06-17,96.265
2022-06-16,96.225
2022-06-15,96.18
2022-06-14,96.035
2022-06-13,96.2
2022-06-10,96.515
2022-06-09,96.815
2022-06-08,96.875
2022-06-07,96.91
2022-06-06,96.89
2022-06-03,96.93
2022-06-02,96.965
2022-06-01,96.965
2022-05-31,97.08
2022-05-27,97.16
2022-05-26,97.165
2022-05-25,97.165
2022-05-24,97.155
2022-05-23,97.01
2022-05-20,97.045
2022-05-19,97.02
2022-05-18,96.975
2022-05-17,96.95
2022-05-16,97.095
2022-05-13,97.08
2022-05-12,97.17
2022-05-11,97.05
2022-05-10,97.075
2022-05-09,97.07
2022-05-06,96.94
2022-05-05,96.9
2022-05-04,97.015
2022-05-03,96.865
2022-05-02,96.93
2022-04-29,96.945
2022-04-28,97.025
2022-04-27,97.09
2022-04-26,97.105
2022-04-25,97.04
2022-04-22,96.925
2022-04-21,96.98
2022-04-20,97.125
2022-04-19,97.145
2022-04-18,97.25
2022-04-15,
2022-04-14,97.265
2022-04-13,97.37
2022-04-12,97.315
2022-04-11,97.17
2022-04-08,97.16
2022-04-07,97.225
2022-04-06,97.195
2022-04-05,97.175
2022-04-04,97.26
2022-04-01,97.245
2022-03-31,97.395
2022-03-30,97.35
2022-03-29,97.34
2022-03-28,97.29
2022-03-25,97.35
2022-03-24,97.52
2022-03-23,97.565
2022-03-22,97.54
2022-03-21,97.555
2022-03-18,97.755
2022-03-17,97.795
2022-03-16,97.795
2022-03-15,97.97
2022-03-14,97.96
2022-03-11,98.055
2022-03-10,98.09
2022-03-09,98.13
2022-03-08,98.2
2022-03-07,98.305
2022-03-04,98.34
2022-03-03,98.275
2022-03-02,98.31
2022-03-01,98.605
2022-02-28,98.39
2022-02-25,98.175
2022-02-24,98.21
2022-02-23,98.14
2022-02-22,98.175
2022-02-18,98.285
2022-02-17,98.255
2022-02-16,98.2
2022-02-15,98.15
2022-02-14,98.11
2022-02-11,98.205
2022-02-10,98.135
2022-02-09,98.405
2022-02-08,98.41
2022-02-07,98.45
2022-02-04,98.42
2022-02-03,98.565
2022-02-02,98.605
2022-02-01,98.595
2022-01-31,98.585
2022-01-28,98.58
2022-01-27,98.59
2022-01-26,98.715
2022-01-25,98.815
2022-01-24,98.865
2022-01-21,98.8
2022-01-20,98.735
2022-01-19,98.775
2022-01-18,98.74
2022-01-14,98.83
2022-01-13,98.9
2022-01-12,98.9
2022-01-11,98.905
2022-01-10,98.905
2022-01-07,98.945
2022-01-06,98.93
2022-01-05,98.98
2022-01-04,99.055
2022-01-03,99.035
2021-12-31,99.08
2021-12-30,99.075
2021-12-29,99.055
2021-12-28,99.065
2021-12-27,99.065
2021-12-23,99.08
2021-12-22,99.105
2021-12-21,99.1
2021-12-20,99.145
2021-12-17,99.11
2021-12-16,99.125
2021-12-15,99.06
2021-12-14,99.105
2021-12-13,99.13
2021-12-10,99.105
2021-12-09,99.075
2021-12-08,99.095
2021-12-07,99.075
2021-12-06,99.125
2021-12-03,99.165
2021-12-02,99.13
2021-12-01,99.195
2021-11-30,99.225
2021-11-29,99.25
2021-11-26,99.245
2021-11-24,99.065
2021-11-23,99.105
2021-11-22,99.08
2021-11-19,99.175
2021-11-18,99.18
2021-11-17,99.165
2021-11-16,99.14
2021-11-15,99.145
2021-11-12,99.14
2021-11-11,99.135
2021-11-10,99.2
2021-11-09,99.34
2021-11-08,99.3
2021-11-05,99.36
2021-11-04,99.32
2021-11-03,99.245
2021-11-02,99.275
2021-11-01,99.195
2021-10-29,99.215
2021-10-28,99.225
2021-10-27,99.24
